date,Fear,Joy,Sadness,Surprise
2021_07_12,0.574,0.202,0.13,0.094
2021_07_13,0.566,0.224,0.128,0.082
2021_07_14,0.572,0.214,0.118,0.096
2021_07_15,0.616,0.158,0.144,0.082
2021_07_16,0.632,0.162,0.122,0.084
2021_07_17,0.664,0.142,0.104,0.09
2021_07_18,0.632,0.17,0.114,0.084
2021_07_19,0.644,0.178,0.098,0.08
2021_07_20,0.676,0.162,0.074,0.088
2021_07_21,0.654,0.164,0.108,0.074
2021_07_22,0.652,0.14,0.134,0.074
2021_07_23,0.63,0.182,0.092,0.096
2021_07_24,0.616,0.166,0.126,0.092
2021_07_25,0.656,0.182,0.084,0.078
2021_07_26,0.662,0.166,0.1,0.072
2021_07_27,0.692,0.132,0.084,0.092
2021_07_28,0.718,0.142,0.076,0.064
2021_07_29,0.698,0.142,0.076,0.084
2021_07_30,0.678,0.148,0.114,0.06
2021_07_31,0.66,0.142,0.106,0.092
2021_08_01,0.63,0.168,0.124,0.078
2021_08_02,0.628,0.156,0.114,0.102
2021_08_03,0.626,0.164,0.11,0.1
2021_08_04,0.66,0.144,0.116,0.08
2021_08_05,0.614,0.194,0.104,0.088
2021_08_06,0.594,0.192,0.126,0.088
2021_08_07,0.588,0.18,0.138,0.094
2021_08_08,0.632,0.158,0.104,0.106
2021_08_09,0.69,0.158,0.078,0.074
2021_08_10,0.56,0.22,0.116,0.104
2021_08_11,0.648,0.174,0.086,0.092
2021_08_12,0.566,0.182,0.138,0.114
2021_08_13,0.594,0.214,0.11,0.082
2021_08_14,0.606,0.2,0.112,0.082
2021_08_15,0.644,0.182,0.09,0.084
2021_08_16,0.608,0.192,0.118,0.082
2021_08_17,0.578,0.164,0.122,0.136
2021_08_18,0.556,0.228,0.106,0.11
2021_08_19,0.608,0.196,0.104,0.092
2021_08_20,0.58,0.21,0.124,0.086
2021_08_21,0.584,0.194,0.122,0.1
2021_08_22,0.606,0.186,0.122,0.086
2021_08_23,0.62,0.198,0.106,0.076
2021_08_24,0.598,0.208,0.116,0.078
2021_08_25,0.618,0.188,0.106,0.088
2021_08_26,0.576,0.198,0.136,0.09
2021_08_27,0.52,0.224,0.166,0.09
2021_08_28,0.612,0.188,0.114,0.086
2021_08_29,0.578,0.196,0.144,0.082
2021_08_30,0.57,0.224,0.134,0.072
2021_08_31,0.536,0.2,0.176,0.088
2021_09_01,0.604,0.19,0.12,0.086
2021_09_02,0.57,0.21,0.128,0.092
